"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"24/10/2025","1.190","1.230","1.230","1.190","4,46K","-4,80%"
"23/10/2025","1.250","1.250","1.250","1.250","5,26K","-0,79%"
"22/10/2025","1.260","1.260","1.260","1.260","1,69K","0,80%"
"21/10/2025","1.250","1.245","1.250","1.245","2,51K","1,63%"
"20/10/2025","1.230","1.295","1.295","1.230","3,89K","-7,52%"
"17/10/2025","1.330","1.375","1.375","1.330","40,89K","-3,62%"
"16/10/2025","1.380","1.395","1.395","1.380","2,80K","0,36%"
"15/10/2025","1.375","1.380","1.380","1.375","4,15K","7,00%"
"14/10/2025","1.285","1.300","1.300","1.285","6,53K","-1,15%"
"13/10/2025","1.300","1.285","1.300","1.285","3,19K","1,17%"
"10/10/2025","1.285","1.290","1.290","1.285","2,66K","-0,39%"
"09/10/2025","1.290","1.280","1.290","1.280","6,94K","1,18%"
"08/10/2025","1.275","1.295","1.295","1.275","1,75K","-0,39%"
"07/10/2025","1.280","1.250","1.280","1.250","17,47K","0,39%"
"06/10/2025","1.275","1.245","1.275","1.245","4,06K","2,41%"
"03/10/2025","1.245","1.250","1.250","1.245","3,09K","0,00%"
